spanner_method;dim;n_points;epsilon;point_method;n_edges;sparseness
greedy;4;50;0.1;get_uniform_points;690;0.563265306122449
random;4;50;0.1;get_uniform_points;992;0.809795918367347
quasi;4;50;0.1;get_uniform_points;845;0.689795918367347
greedy;4;50;0.1;get_exponential_points;209;0.17061224489795918
random;4;50;0.1;get_exponential_points;459;0.3746938775510204
quasi;4;50;0.1;get_exponential_points;262;0.21387755102040817
greedy;4;50;0.2;get_points;406;0.3314285714285714
random;4;50;0.2;get_points;781;0.6375510204081632
quasi;4;50;0.2;get_points;529;0.43183673469387757
greedy;4;50;0.2;get_uniform_points;413;0.33714285714285713
random;4;50;0.2;get_uniform_points;801;0.6538775510204081
quasi;4;50;0.2;get_uniform_points;572;0.4669387755102041
greedy;4;50;0.2;get_exponential_points;123;0.10040816326530612
random;4;50;0.2;get_exponential_points;328;0.2677551020408163
quasi;4;50;0.2;get_exponential_points;183;0.1493877551020408
greedy;4;50;0.5;get_points;188;0.15346938775510205
random;4;50;0.5;get_points;520;0.42448979591836733
quasi;4;50;0.5;get_points;262;0.21387755102040817
greedy;4;50;0.5;get_uniform_points;185;0.1510204081632653
random;4;50;0.5;get_uniform_points;513;0.41877551020408166
quasi;4;50;0.5;get_uniform_points;261;0.21306122448979592
greedy;4;50;0.5;get_exponential_points;76;0.062040816326530614
random;4;50;0.5;get_exponential_points;194;0.15836734693877552
quasi;4;50;0.5;get_exponential_points;98;0.08
greedy;4;50;2.0;get_points;64;0.052244897959183675
random;4;50;2.0;get_points;174;0.14204081632653062
quasi;4;50;2.0;get_points;88;0.07183673469387755
greedy;4;50;2.0;get_uniform_points;67;0.054693877551020405
random;4;50;2.0;get_uniform_points;159;0.12979591836734694
quasi;4;50;2.0;get_uniform_points;104;0.08489795918367347
greedy;4;50;2.0;get_exponential_points;51;0.04163265306122449
random;4;50;2.0;get_exponential_points;127;0.1036734693877551
quasi;4;50;2.0;get_exponential_points;60;0.04897959183673469
greedy;3;400;2.0;get_exponential_points;436;0.005463659147869674
random;3;400;2.0;get_exponential_points;1682;0.021077694235588973
quasi;3;400;2.0;get_exponential_points;497;0.006228070175438596
greedy;4;100;0.01;get_points;4594;0.9280808080808081
random;4;100;0.01;get_points;4835;0.9767676767676767
quasi;4;100;0.01;get_points;4697;0.9488888888888889
greedy;4;100;0.01;get_uniform_points;4676;0.9446464646464646
random;4;100;0.01;get_uniform_points;4850;0.9797979797979798
quasi;4;100;0.01;get_uniform_points;4786;0.9668686868686869
greedy;4;100;0.01;get_exponential_points;1790;0.3616161616161616
random;4;100;0.01;get_exponential_points;2757;0.556969696969697
quasi;4;100;0.01;get_exponential_points;2137;0.4317171717171717
greedy;4;100;0.1;get_uniform_points;2008;0.40565656565656566
random;4;100;0.1;get_uniform_points;3449;0.6967676767676768
quasi;4;100;0.1;get_uniform_points;2564;0.517979797979798
greedy;4;100;0.1;get_points;1936;0.39111111111111113
random;4;100;0.1;get_points;3389;0.6846464646464646
quasi;4;100;0.1;get_points;2457;0.49636363636363634
greedy;4;100;0.1;get_exponential_points;609;0.12303030303030303
random;4;100;0.1;get_exponential_points;1439;0.2907070707070707
quasi;4;100;0.1;get_exponential_points;834;0.1684848484848485
greedy;3;400;2.0;get_uniform_points;566;0.007092731829573934
random;3;400;2.0;get_uniform_points;2722;0.034110275689223056
quasi;3;400;2.0;get_uniform_points;697;0.008734335839598997
greedy;4;100;0.2;get_exponential_points;372;0.07515151515151515
random;4;100;0.2;get_exponential_points;1050;0.21212121212121213
quasi;4;100;0.2;get_exponential_points;489;0.09878787878787879
greedy;4;100;0.2;get_points;1084;0.21898989898989898
random;4;100;0.2;get_points;2559;0.516969696969697
quasi;4;100;0.2;get_points;1471;0.2971717171717172
greedy;4;100;0.5;get_points;423;0.08545454545454545
