Dimension;Epsilon;Npoints;point_gen_method;query_method;MinFraction;MaxFraction;AvgFraction;MinNumberOfDistances;MaxNumberOfDistances;AvgNumberOfDistances
20;0.5;500;unif;query_2;0.004;0.004;0.004000000000000001;2;2;2.0
20;0.5;500;exp;query_1;0.006;0.038;0.019;3;19;9.5
20;0.5;500;exp;query_2;0.014;0.034;0.023;7;17;11.5
2;0.001;1000;normal;query_1;0.005;0.013;0.007600000000000001;5;13;7.6
2;0.001;1000;exp;query_1;0.011;0.026;0.0161;11;26;16.1
2;0.001;1000;unif;query_1;0.007;0.017;0.011699999999999999;7;17;11.7
2;0.001;1000;normal;query_2;0.011;0.033;0.019000000000000003;11;33;19.0
2;0.01;1000;normal;query_1;0.002;0.003;0.0021000000000000003;2;3;2.1
2;0.001;1000;unif;query_2;0.013;0.032;0.019200000000000002;13;32;19.2
2;0.001;1000;exp;query_2;0.006;0.023;0.014600000000000002;6;23;14.6
2;0.01;1000;unif;query_1;0.002;0.006;0.003;2;6;3.0
2;0.01;1000;normal;query_2;0.003;0.017;0.0085;3;17;8.5
2;0.01;1000;exp;query_1;0.007;0.019;0.0127;7;19;12.7
2;0.01;1000;unif;query_2;0.003;0.025;0.0085;3;25;8.5
2;0.1;1000;normal;query_1;0.002;0.002;0.0020000000000000005;2;2;2.0
2;0.1;1000;normal;query_2;0.002;0.003;0.0021000000000000003;2;3;2.1
2;0.01;1000;exp;query_2;0.006;0.017;0.0127;6;17;12.7
2;0.1;1000;unif;query_2;0.002;0.006;0.0024000000000000002;2;6;2.4
2;0.1;1000;unif;query_1;0.002;0.002;0.0020000000000000005;2;2;2.0
2;0.5;1000;normal;query_1;0.002;0.002;0.0020000000000000005;2;2;2.0
2;0.5;1000;normal;query_2;0.002;0.002;0.0020000000000000005;2;2;2.0
2;0.1;1000;exp;query_1;0.003;0.012;0.008499999999999999;3;12;8.5
2;0.1;1000;exp;query_2;0.005;0.01;0.008400000000000001;5;10;8.4
2;0.5;1000;unif;query_1;0.002;0.002;0.0020000000000000005;2;2;2.0
2;0.5;1000;unif;query_2;0.002;0.004;0.0022000000000000006;2;4;2.2
2;0.5;1000;exp;query_2;0.003;0.014;0.006;3;14;6.0
2;0.5;1000;exp;query_1;0.003;0.009;0.0060999999999999995;3;9;6.1
3;0.001;1000;normal;query_1;0.005;0.028;0.013000000000000001;5;28;13.0
3;0.001;1000;unif;query_1;0.009;0.023;0.015399999999999997;9;23;15.4
3;0.001;1000;exp;query_1;0.013;0.032;0.0204;13;32;20.4
3;0.001;1000;normal;query_2;0.013;0.049;0.0284;13;49;28.4
3;0.01;1000;normal;query_1;0.002;0.004;0.0022;2;4;2.2
3;0.001;1000;exp;query_2;0.011;0.024;0.015099999999999999;11;24;15.1
3;0.01;1000;unif;query_1;0.002;0.004;0.0023;2;4;2.3
3;0.001;1000;unif;query_2;0.017;0.047;0.0354;17;47;35.4
3;0.01;1000;normal;query_2;0.004;0.016;0.009;4;16;9.0
3;0.1;1000;normal;query_1;0.002;0.002;0.0020000000000000005;2;2;2.0
3;0.01;1000;exp;query_1;0.011;0.029;0.0198;11;29;19.8
3;0.01;1000;exp;query_2;0.007;0.019;0.014500000000000002;7;19;14.5
3;0.1;1000;normal;query_2;0.002;0.002;0.0020000000000000005;2;2;2.0
3;0.01;1000;unif;query_2;0.006;0.018;0.0127;6;18;12.7
3;0.1;1000;unif;query_1;0.002;0.002;0.0020000000000000005;2;2;2.0
3;0.1;1000;unif;query_2;0.002;0.005;0.0024000000000000002;2;5;2.4
3;0.5;1000;normal;query_1;0.002;0.002;0.0020000000000000005;2;2;2.0
3;0.1;1000;exp;query_2;0.008;0.019;0.0123;8;19;12.3
3;0.1;1000;exp;query_1;0.01;0.022;0.0162;10;22;16.2
3;0.5;1000;normal;query_2;0.002;0.002;0.0020000000000000005;2;2;2.0
3;0.5;1000;unif;query_1;0.002;0.002;0.0020000000000000005;2;2;2.0
3;0.5;1000;unif;query_2;0.002;0.002;0.0020000000000000005;2;2;2.0
3;0.5;1000;exp;query_1;0.005;0.012;0.0091;5;12;9.1
3;0.5;1000;exp;query_2;0.005;0.015;0.008799999999999999;5;15;8.8
4;0.001;1000;normal;query_1;0.007;0.019;0.013500000000000002;7;19;13.5
20;0.01;500;unif;query_2;0.224;0.748;0.39780000000000004;112;374;198.9
4;0.001;1000;exp;query_2;0.009;0.019;0.013500000000000002;9;19;13.5
4;0.001;1000;unif;query_1;0.008;0.053;0.0261;8;53;26.1
